chemical name,ACA_class,mol_weight,hydrophobicity,TPSA,complexity,volume,inh_Bac1,inh_Bac2,inh_Bac3,inh_Bac4,inh_Bac5,inh_Bac6,inh_Bac7,inh_Bac8,inh_Bac9,inh_Bac10,inh_Bac11,inh_Bac12,inh_Bac13,inh_Bac14,inh_Bac15,inh_Bac16,inh_Bac17,inh_Bac18,inh_Bac19,inh_Bac20,inh_Bac21,inh_Bac22,inh_Bac23,inh_Bac24,inh_Bac25,inh_Bac26,inh_Bac27,inh_Bac28,inh_Bac29,inh_Bac30,inh_Bac31,inh_Bac32,inh_Bac33,inh_Bac34,inh_Bac35,inh_Bac36,inh_Bac37,inh_Bac38,inh_Bac39,inh_Bac40
Acetaminophen,N02BE01,151.16256,0.5,49.3,139,120.2,1,1,0.953892602,1,1,1,1,0.939909033,1,0.958060426,1,1,0.989513174,1,1,0.767583242,0.401673943,0.577185709,0.970001549,1,0.956427388,1,0.92733527,0.113946205,0.784286732,1,0.278980139,1,1,0.98745596,0.927433647,1,1,1,1,0.358456364,0.83594265,0.340710659,0.798524141,0.93296521
Acetazolamide,S01EC01,222.24544,-0.3,152,297,146.5,1,1,0.927433647,0.760816624,0.392889556,1,1,1,0.40052508,1,1,1,1,1,0.619259107,1,1,1,1,0.98140115,1,1,0.229859839,1,0.373050498,1,1,0.885517651,1,0.767537883,1,1,1,1,0.372729905,1,1,1,1,1
Acetohexamide,A10BB31,324.3953,2.4,101,498,244.9,0.583970341,0.958582063,0.844537931,0.835254647,1,0.442847637,1,0.951921994,0.799094311,1,1,1,0.662500579,0.884387103,0.838636113,1,0.904184653,0.962042799,1,0.913624354,1,1,0.963248758,0.806565338,0.943085702,1,0.983272714,1,0.678975075,1,1,0.831777573,0.544825485,0.714368846,1,0.920389058,1,0.920204116,0.996227633,0.979890958
Acetopromazine maleate salt,N05AA04,326.45578,4.2,48.8,414,262.1,0.01630874,0.291783261,0.364117708,0.244462482,0.310137174,0.058563703,0.003467683,0.003784869,0.470098802,1,0.824479428,0.907158785,1,0.205118235,0.937780019,0.936022547,0.786630063,1,0.796061553,0.196334606,1,0.70038079,1,1,0.945315599,0.317792335,1,1,0.881806073,1,0.832820358,0.030940191,0.684489103,1,0.340826512,0.685588524,1,1,1,0.171089687
Acetylcysteine,R05CB01 S01XA08 V03AB23,163.19486,0.4,67.4,148,119.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.359341034,1,1,1,1,0.941044355,1,1,1,1,1,1,1,1,0.636173466,1,1,1,1,1
Acetylsalicylic acid,A01AD05 B01AC06 N02BA01,180.15742,1.2,63.6,212,136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.362625001,1,1,1,1,1,1,1,0.173443183,1,1,1,1,1,1,1,1,1,1,1,1
Acetylsalicylsalicylic acid,-,300.26288,2.4,89.9,432,223.4,1,0.909447355,1,1,0.07338834,1,1,1,0.590249224,0.709555611,0.900411011,0.921702868,1,0.945026529,1,1,1,1,1,0.186667183,1,1,1,1,0.852233206,0.999569592,1,1,1,0.92566174,1,1,1,1,0.303821458,1,1,0.904591461,1,0.103028943
Acipimox,C10AD06,154.12344,-1,75.6,162,112.4,0.948542096,0.707183681,0.820191216,0.734833666,0.663090053,0.957552925,1,0.988175166,0.917685576,0.303821458,0.98431611,0.998996805,0.184336174,0.832612082,0.263123784,0.812990459,0.835919391,0.683501262,0.147053408,1,0.80958751,0.966082968,1,0.207093996,0.58247182,0.959343158,0.851935574,0.892217361,0.633125957,1,0.972884939,1,0.464905219,0.974978145,0.829172146,0.939342423,0.331327424,0.656298714,1,0.161253712
Acitretin,D05BB02,326.42934,6.1,46.5,539,276.6,0.799094311,0.643287185,0.230958622,0.925687674,0.313675871,0.966652966,0.958582063,0.470401366,0.200807436,0.723565296,0.803942458,1,0.275096965,0.459812828,0.129638788,0.111685463,0.796406691,0.712862265,0.207900893,0.73460743,1,1,0.626412782,0.225365966,1,0.171089687,1,0.561585951,0.379405408,0.185382924,0.382014599,0.615973178,1,0.200739415,0.084749769,0.431387773,0.21313989,0.63705029,0.548667371,0.788728459
Acyclovir,D06BB03 J05AB01 S01AD03,225.20464,-1.6,115,308,160,1,1,1,1,1,1,1,1,1,1,1,1,0.917232784,1,1,1,1,1,1,0.783706208,1,1,1,1,0.471687998,0.824744474,1,1,1,1,1,1,1,1,1,1,1,1,0.180896828,1
Adamantamine fumarate,N04BB01,151.24868,2.4,26,144,116.2,1,1,0.933094297,0.657835043,1,1,1,1,0.805556963,1,1,1,1,1,1,1,1,1,1,0.824317776,1,1,0.932688398,0.902370591,1,1,1,0.367199947,1,1,1,1,1,1,1,1,1,1,1,1
Adenosine 5'-monophosphate monohydrate,-,347.221222,-3.5,186,481,233,1,0.905687343,1,1,0.939352336,1,0.473054276,0.58432321,0.021490153,0.924444047,1,1,1,1,0.963691368,0.761748268,0.742355865,0.981746857,1,1,1,1,1,0.377340466,1,1,1,0.659778611,1,1,1,1,0.943479276,0.721027955,0.714858476,0.931201467,1,0.774732129,0.561332897,0.930042791
Adiphenine hydrochloride,M03BX,311.418,4.2,29.5,311,260.1,1,1,0.42150057,0.895030407,1,0.89869517,0.694299939,0.341185328,1,1,1,0.806632884,0.906875172,0.965152965,1,1,1,0.766942058,1,1,1,0.990406272,0.476137861,0.202436064,0.720589978,1,0.864946472,0.520881202,1,0.469944118,0.5257538,1,1,0.440968301,1,1,1,1,0.821187055,1
Adrenosterone,A14AA,300.39206,1.6,51.2,616,234.6,1,1,1,1,0.964838132,1,1,0.864946472,0.998407697,1,1,1,1,1,1,1,1,1,1,0.84732961,1,0.8865227,0.538726615,0.278769789,0.811005453,0.970395269,0.6969813,0.889878639,1,1,1,0.739938032,1,1,0.587194354,1,0.905565405,0.924125496,1,1
Albendazole,P02CA03,265.3314,2.9,92.3,291,202.3,0.894956568,0,1,1,1,1,1,1,0.994652152,1,1,1,0.020890917,1,1,1,1,1,1,0,0.949556212,1,0.540086469,1,0.980032616,0,1,1,1,1,1,0,1,0.07932633,0.619045743,1,0.001083172,1,0.003156937,1
Alclometasone dipropionate,D07AB10,521.04218,3.2,107,1030,,1,1,1,0.783221432,1,1,0.929193797,1,1,1,1,0.955860576,1,0.731697522,1,1,1,1,1,1,1,1,1,1,1,0.60288434,1,0.488951105,1,1,1,0.792842855,1,0.250029864,1,1,1,1,1,1
Alcuronium chloride,M03AA01,666.8934,3.1,46.9,1510,519.3,1,1,1,1,1,1,1,1,1,1,0,0.794315643,1,1,1,1,1,1,0.612447457,1,1,1,0.978411171,1,1,1,0.352128612,1,1,0.079932791,1,1,1,0.707183681,1,1,1,1,0.123831025,1
Alendronate sodium,M05BA04,249.096044,-6.5,161,257,161.4,1,1,1,1,1,1,1,1,1,1,1,0.948398317,1,1,1,1,1,0.879186169,1,1,1,1,1,1,1,0.567649878,1,0.616607317,1,1,1,1,1,1,1,1,1,1,0.972627123,1
Alexidine dihydrochloride,A01AB,508.78984,4.3,178,601,,6.77E-07,5.04E-06,5.91E-06,2.63E-05,5.04E-06,1.38E-05,1.31E-06,2.26E-06,4.97E-07,1.61E-05,5.04E-06,0.639879542,7.48E-07,0.013329408,0.00079853,5.51E-07,4.86E-06,7.40E-07,2.74E-07,5.04E-06,5.04E-06,6.37E-06,2.47E-05,0.005361641,6.67E-06,0.000164611,0.027534779,8.28E-07,5.04E-06,3.47E-07,4.93E-07,3.44E-05,1.95E-05,0.000171847,9.85E-05,5.04E-06,4.22E-06,9.45E-07,8.47E-07,5.04E-06
Alfacalcidol,A11CC03,400.63706,6.8,40.5,643,,0.279735518,0.568018424,0.784495829,0.287411328,0.983480931,1,0.590009167,0.183320693,1,0.01001073,0.007674264,0.241865066,0.408314008,0.653096799,0.382105974,3.63E-05,0.027404101,0.679806689,0.311671553,0.000508931,0.010886523,0.658826861,1,1,0.942219855,0.00282026,1,0.939352336,0.556257224,0.575073882,0.441165213,0.2504529,0.426906041,0.001149386,1,0.029196965,0.092443318,0.005574865,8.93E-05,0.697819847
Alfadolone acetate,N01AX,390.51306,3.2,80.7,687,303.2,0.929570234,1,1,1,1,1,1,1,0.461111232,1,1,1,1,1,1,1,0.416359267,1,1,1,1,1,1,1,0.951399298,1,1,1,0.943267545,0.576853089,1,1,1,0.823746453,1,1,1,1,1,1
Alfaxalone,N01AX05,332.47698,3.2,54.4,569,263.3,0.89341855,0.810334583,1,1,0.68942525,0.740453939,1,1,0.197929416,1,1,0.991880625,0.727659286,1,0.94978999,1,0.943267545,0.65824178,1,1,0.862889185,0.998259584,1,1,1,1,0.800322189,1,0.642120457,0.773774563,1,1,1,0.761748268,0.643111149,1,1,1,0.52579868,0.874510046
Alfuzosin hydrochloride,G04CA01,389.44878,1.7,112,511,296.8,1,1,1,1,1,1,1,1,0.92733527,1,1,1,1,0.870941042,1,1,1,1,1,0.215205116,1,1,1,1,1,1,0.83643417,0.047876521,1,1,1,1,1,0.876996884,0.635533787,1,1,1,0.695559763,1
Alizapride HCl,A03FA05,315.37024,1.5,83.1,433,245.2,0.797566864,1,1,1,1,1,1,1,1,1,1,0.57802891,1,1,1,1,1,0.727434172,1,1,1,1,1,1,1,1,1,0.837819652,1,1,1,1,1,1,1,1,1,1,0.911582419,1
Allantoin,-,158.11544,-2.2,113,225,108.5,1,1,0.92659574,1,0.991074794,1,1,1,0.717600298,1,1,1,1,1,0.707183681,1,1,1,1,0.953452066,1,0.889772221,0.286041417,1,0.425273959,1,0.961704262,0.904602115,1,1,1,1,0,1,0.643995263,1,1,1,1,1
Allopurinol,M04AA01,136.11146,-0.5,65.8,275,95,1,0.257547766,0.939404222,0.71360496,1,1,0.387977125,0.578725647,1,1,1,0.455888005,1,1,1,0.994141988,1,0.615370938,0.483231936,0.865898551,1,0.920036494,0.43498347,0.561361102,1,1,0.661827433,1,1,1,0.734833666,1,1,0.683501262,1,0.278234578,0.958060426,0.343098959,0.65824178,1
Alprenolol hydrochloride,C07AA01,249.34862,3.1,41.5,231,210.4,1,1,1,1,1,1,1,1,1,1,1,0.800794375,1,1,1,1,1,1,1,1,1,1,0.211191868,1,1,1,1,0.879204204,1,1,1,1,1,1,1,1,1,1,0.237438931,1
Alprostadil,C01EA01 G04BE01,354.48096,3.2,94.8,432,293,0.906900373,0.597241104,0.816901809,0.855563566,0.662962188,0.979277377,0.596784778,0.273994142,0.636858939,0.273421178,0.370501147,1,0.559337685,0.342684438,0.846300691,0.211876684,0.121689004,0.48697339,0.280310839,0.983109804,0.466076145,0.98431611,0.481028617,0.838438727,0.816069838,1,0.187641699,0.798234523,0.63709745,1,0.20792595,1,0.760137871,0.960608327,1,0.462915598,0.836976622,0.70379294,0.680101307,0.468681663
Althiazide,C03EA04,383.89456,0.8,160,614,255.5,1,1,0.83594265,0.016884832,1,0.488996057,1,0.214082736,0.090927034,0.429993187,1,1,1,1,1,1,1,1,1,1,0.804862742,1,1,1,1,1,1,0.119139659,1,1,1,1,1,1,1,1,0.691906527,1,1,1
Altretamine,L01XX03,210.27942,2.7,48.4,148,159,1,1,1,0.708170463,1,1,0.508833101,0.695559763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.704048451,1,1,1,0.904474638,1,1,0.533384908,0.58404857,1,1,0.614344947,1,0.914116453,0.858731195,0.680479645,0.885517651,1
Alverine citrate salt,A03AX08,281.43508,5.3,3.2,214,246.7,0.047777351,1,0.910584376,1,0.933763256,0.83594265,1,0.917497436,1,0.956921661,0.704636582,0.961753098,0.446327591,0.314806217,0.248364491,1,1,1,0.816661798,0.006749194,0.588261124,0.246401819,0.572247607,1,0.125511266,0.016327138,1,1,0.981313721,1,1,0.407866494,1,0.376955391,0.103555489,0.192290183,0.154932467,1,0.842396051,0.937497647
Ambrisentan,C02KX02,378.42108,3.8,81.5,475,292.8,1,1,0.755336284,1,1,0.878897044,0.885955561,1,1,1,1,0.62491033,1,1,1,1,1,1,1,0.053859552,1,1,0.953212186,1,1,0.800904609,1,1,0.934777235,1,1,1,1,0.682413143,1,0.92377962,1,1,1,1
Ambroxol hydrochloride,R05CB06,378.10282,2.6,58.3,259,222.6,0.762024579,0.953212186,0.93302511,0.958928158,1,0.604311926,0.614793711,1,0.739079928,0.86503088,0.313677483,1,1,1,1,0.497946485,0.455696231,1,1,1,0.980927024,1,1,0.763106457,0.985199381,0.970908057,1,1,0.772224927,1,1,1,1,1,1,1,1,0.968917665,1,0.809186149
Amcinonide,D07AC11,502.571703,3.6,99.1,1090,,1,1,0.799952843,0.952465781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7418645,0.879536155,1,1,1,1,0.976356235,1,0.674674951,1,0.369279687,1,0.950308257,1,0.341617187,0.771002179,1,1,1,1,1
"Amethopterin (R,S)",L01BA01 L04AX03,454.43928,-1.8,211,704,331.9,0.619259107,0.597471436,0.241740384,0.30013545,0.864233126,1,5.24E-06,0.000394597,0.320166871,0.098439992,0.652802785,1,0.535543828,4.99E-05,1,0.00017265,5.37E-06,0.363600104,0.42380497,0.977367863,0.087584159,0.718559751,1,1,0.961824136,0.001557165,1,5.51E-07,0.325171676,0.424683325,1,1,0.009074269,0.232095249,1,0.000214389,0.986101839,1.91E-06,1.64E-06,5.04E-06
Amfepramone hydrochloride,A08AA03,205.29606,2.8,20.3,193,174.9,0.91180015,0.939342423,1,1,1,1,1,1,0.833391042,0.701357364,0.82074972,1,0.983993805,1,0.685452833,1,0.965152965,1,1,1,0.849629956,0.879690009,1,1,1,1,1,1,0.694994553,1,1,1,0.431767797,1,1,1,1,1,0.951317776,0.932754609
Amidopyrine,N02BB03,231.29358,1,26.8,343,187.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.648262518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05733599,1,1,1,1,1
Amifostine,V03AF05,214.222962,-4.5,121,152,154.2,1,0.124966086,1,1,1,1,1,1,0.807819639,1,1,1,1,1,1,1,1,1,1,0.874262087,1,1,1,1,1,1,1,1,1,1,1,1,1,0.711928594,0.812263423,1,1,1,1,1
Amikacin hydrate,D06AX12 J01GB06 S01AA21,585.60252,-7.9,332,819,,1,1,1,0.97754109,1,1,0.698580153,1,1,0.491787097,0.007685758,0.352228359,1,0.922067839,1,0.991908771,0.480648424,0.019323257,0.002376626,0.000110866,1,0.012469594,0.882111162,0.076221,0.907738117,0.000556732,0.763106457,5.72E-05,1,0.83594265,1,0.925245405,0.321150079,0.000241562,6.00E-05,0.001543463,8.28E-07,0.000160215,3.70E-05,1
Amiloride hydrochloride dihydrate,C03DB01,229.62702,-0.7,159,279,155.3,1,1,0.4584398,0.868443069,0.969384582,1,1,1,1,1,0.339206235,1,1,1,0.592543263,1,1,1,1,0.704021665,1,1,0.05251839,1,0.979100832,1,1,0.656604164,1,1,1,1,0.894780407,1,0.62397435,0.982778591,1,1,1,1
Aminocaproic acid,B02AA01,131.17292,-3,63.3,83,108.3,1,0.65660647,0.991409898,0.522557454,1,1,1,1,0.708890651,1,1,0.080023881,1,1,1,1,1,1,1,1,1,1,0.465334556,0.83643417,1,1,0.831241309,1,1,0.090776821,0.328146795,1,1,1,1,0.786710161,1,0.367243975,0.658683761,1
